date,maximum_rainfall_in_a_day,no_of_rainy_days,total_rainfall,wbt_mean,wbt_min,wbt_max,mean_rh,mean_temp,dengue_cases
1982-01-01,36.5,10.0,107.1,23.45604838709677,21.3,25.6,81.2,25.9,
1982-02-01,9.4,5.0,27.8,24.297619047619047,22.4,26.8,79.5,27.1,
1982-03-01,61.7,11.0,160.8,24.811559139784944,22.4,27.4,82.3,27.2,
1982-04-01,45.1,14.0,157.0,25.10375,22.2,27.6,85.9,27.0,
1982-05-01,33.0,10.0,102.2,25.689650537634407,22.7,28.1,83.2,28.0,
1982-06-01,20.6,8.0,59.5,25.729305555555552,23.3,27.9,80.3,28.4,
1982-07-01,17.2,8.0,76.3,25.107258064516127,22.1,27.5,77.6,28.2,
1982-08-01,57.7,11.0,169.5,25.02755376344086,22.4,27.1,80.4,27.7,
1982-09-01,18.0,9.0,54.1,25.243055555555557,23.0,27.1,80.6,27.9,
1982-10-01,10.0,10.0,39.3,24.90067204301075,22.2,26.9,81.5,27.4,
1982-11-01,39.6,13.0,134.0,25.068888888888885,22.5,27.5,83.4,27.3,
1982-12-01,109.0,21.0,494.1,24.621639784946236,22.6,27.0,87.7,26.2,
1983-01-01,43.2,18.0,246.0,24.554973118279573,22.9,27.0,85.6,26.5,
1983-02-01,5.1,2.0,5.6,24.97440476190476,22.1,27.8,78.0,28.1,
1983-03-01,18.3,2.0,18.6,25.439247311827955,22.5,27.7,76.0,28.9,
1983-04-01,21.3,4.0,33.6,26.09347222222222,22.8,28.0,77.2,29.4,
1983-05-01,32.3,11.0,160.8,25.95685483870968,23.0,28.1,83.2,28.3,
1983-06-01,27.7,11.0,94.0,25.872500000000002,21.0,28.0,82.4,28.3,
1983-07-01,55.5,18.0,190.0,25.422043010752688,21.2,27.5,83.7,27.6,
1983-08-01,181.8,10.0,262.2,25.54959677419355,21.7,27.5,81.2,28.1,
1983-09-01,50.3,18.0,170.8,25.13722222222222,22.8,27.3,84.4,27.2,
1983-10-01,40.0,17.0,212.7,25.239247311827956,22.3,27.4,82.5,27.6,
1983-11-01,54.8,18.0,228.8,24.687638888888888,21.2,27.6,85.2,26.6,
1983-12-01,164.4,16.0,370.6,23.882526881720427,21.6,26.3,88.0,25.4,
1984-01-01,62.3,18.0,251.2,23.667876344086025,21.1,26.1,85.8,25.5,
1984-02-01,154.4,19.0,470.4,24.00991379310345,21.2,26.3,86.0,25.8,
1984-03-01,119.4,19.0,361.3,24.6002688172043,22.0,27.0,85.4,26.5,
1984-04-01,38.7,17.0,153.1,25.178472222222222,22.8,27.4,83.8,27.3,
1984-05-01,46.0,12.0,186.5,25.15645161290323,22.3,27.3,84.1,27.3,
1984-06-01,121.1,14.0,255.0,25.2575,21.0,27.4,83.1,27.5,
1984-07-01,49.2,12.0,127.2,24.984274193548387,22.4,27.1,83.7,27.2,
1984-08-01,22.5,13.0,102.7,25.241935483870968,21.8,27.5,84.1,27.4,
1984-09-01,46.5,17.0,186.7,24.65791666666667,21.0,27.5,83.9,26.8,
1984-10-01,47.2,11.0,187.5,25.00712365591398,21.5,27.2,82.5,27.4,
1984-11-01,35.4,17.0,127.7,24.650138888888886,22.2,27.2,86.3,26.5,
1984-12-01,58.4,22.0,277.4,24.245833333333334,21.2,26.4,86.7,26.0,
1985-01-01,35.5,7.0,111.1,24.091129032258063,22.0,27.1,81.5,26.6,
1985-02-01,18.7,11.0,79.3,24.892857142857142,21.9,27.3,84.0,27.0,
1985-03-01,23.8,13.0,88.0,24.92822580645161,22.4,27.3,83.9,27.1,
1985-04-01,29.3,14.0,110.5,25.28291666666667,22.3,28.0,83.8,27.5,
1985-05-01,36.2,12.0,70.1,25.736962365591395,23.3,28.3,83.4,28.0,
1985-06-01,9.9,14.0,37.0,25.32333333333333,21.6,27.5,79.4,28.2,
1985-07-01,32.2,17.0,131.8,24.738575268817204,21.0,27.0,83.1,27.0,
1985-08-01,21.4,11.0,56.9,25.07983870967742,20.9,27.5,80.4,27.7,
1985-09-01,22.0,18.0,110.7,24.693055555555556,21.2,26.6,83.1,26.9,
1985-10-01,30.2,21.0,169.0,24.6747311827957,21.5,27.4,84.7,26.7,
1985-11-01,38.2,21.0,179.4,24.571805555555557,22.5,26.9,85.0,26.6,
1985-12-01,86.8,22.0,340.1,24.273118279569893,22.5,27.0,86.2,26.1,
1986-01-01,95.6,13.0,308.2,23.615591397849464,21.3,26.1,83.9,25.7,
1986-02-01,23.0,2.0,26.7,23.99955357142857,21.9,27.0,78.4,26.9,
1986-03-01,71.1,17.0,353.4,24.6747311827957,22.6,27.6,86.6,26.4,
1986-04-01,56.4,14.0,150.0,25.42013888888889,22.7,27.4,85.3,27.4,
1986-05-01,51.3,13.0,145.1,25.686155913978496,22.0,27.5,81.8,28.2,
1986-06-01,34.5,13.0,122.9,25.542222222222225,22.0,27.8,82.5,27.9,
1986-07-01,23.5,12.0,109.7,25.11209677419355,21.6,27.4,79.9,27.9,
1986-08-01,28.4,11.0,72.9,25.126478494623655,21.9,27.0,77.3,28.3,
1986-09-01,97.6,22.0,396.0,24.64486111111111,21.3,27.2,84.4,26.7,
1986-10-01,65.6,20.0,227.3,24.90537634408602,22.6,27.4,85.0,26.9,
1986-11-01,40.5,21.0,256.7,24.504583333333333,22.6,26.5,84.1,26.6,
1986-12-01,131.7,16.0,367.2,24.403494623655916,22.1,26.9,85.2,26.3,
1987-01-01,127.4,16.0,568.6,23.70255376344086,21.8,25.7,86.0,25.5,
1987-02-01,34.8,7.0,86.9,23.781994047619047,22.2,26.0,79.0,26.6,
1987-03-01,40.9,12.0,132.5,25.19475806451613,23.0,27.3,83.2,27.5,
1987-04-01,27.7,10.0,72.5,25.573194444444447,23.0,27.5,82.8,27.9,
1987-05-01,81.4,16.0,270.0,25.55766129032258,22.9,27.6,84.6,27.6,
1987-06-01,30.7,15.0,126.6,26.001527777777774,22.0,27.9,80.7,28.7,
1987-07-01,21.6,11.0,80.9,25.540188172043013,21.9,27.2,81.3,28.1,
1987-08-01,48.2,16.0,191.9,25.20483870967742,23.0,27.2,83.6,27.4,
1987-09-01,44.5,11.0,129.9,25.21027777777778,21.2,27.4,82.5,27.6,
1987-10-01,5.9,9.0,22.6,25.403897849462364,23.1,27.6,82.1,27.9,
1987-11-01,77.7,17.0,347.6,25.099861111111114,22.6,27.1,84.0,27.3,
1987-12-01,24.3,11.0,72.8,24.40981182795699,22.4,26.4,84.6,26.4,
1988-01-01,69.0,15.0,237.5,24.706989247311828,22.8,26.7,84.3,26.8,
1988-02-01,46.7,9.0,158.1,24.87528735632184,23.0,27.3,83.2,27.1,
1988-03-01,70.1,15.0,186.8,25.28682795698925,22.5,27.9,85.3,27.3,
1988-04-01,22.8,13.0,109.6,25.7025,23.5,27.9,84.5,27.8,
1988-05-01,76.7,14.0,229.6,26.008467741935483,23.1,28.5,82.7,28.4,
1988-06-01,69.4,13.0,252.2,25.459305555555556,22.2,27.8,81.6,28.0,
1988-07-01,75.6,15.0,305.4,25.204435483870967,20.7,27.4,84.0,27.3,
1988-08-01,19.0,14.0,80.1,25.002150537634407,22.5,27.5,84.9,27.0,
1988-09-01,187.3,14.0,440.4,25.004722222222224,21.9,27.0,84.5,27.1,
1988-10-01,39.8,17.0,134.6,25.170295698924733,22.5,27.4,83.2,27.5,
1988-11-01,111.9,23.0,401.4,24.58527777777778,22.0,26.9,86.8,26.3,
1988-12-01,22.0,11.0,62.9,23.718413978494624,21.7,26.1,81.1,26.2,
1989-01-01,53.0,10.0,189.7,24.39704301075269,21.2,26.5,84.1,26.5,
1989-02-01,48.4,3.0,52.4,23.703869047619047,21.5,26.0,78.3,26.6,
1989-03-01,63.5,21.0,305.9,24.72204301075269,22.5,27.1,87.6,26.3,
1989-04-01,39.0,17.0,198.6,25.190555555555555,22.1,28.0,86.4,27.0,
1989-05-01,38.2,12.0,194.0,25.4755376344086,21.4,28.1,86.6,27.3,
1989-06-01,45.9,12.0,117.6,25.19611111111111,22.3,27.5,83.3,27.5,
1989-07-01,33.3,12.0,157.6,25.386559139784943,22.1,27.5,82.6,27.7,
1989-08-01,81.4,18.0,201.0,24.966397849462364,21.2,27.3,83.7,27.1,
1989-09-01,102.2,14.0,247.3,24.846249999999998,21.4,27.1,84.4,26.9,
1989-10-01,24.9,16.0,111.0,24.87983870967742,21.7,26.8,83.7,27.1,
1989-11-01,148.6,20.0,508.4,24.7975,22.3,27.6,86.0,26.7,
1989-12-01,44.2,18.0,179.7,24.37889784946237,22.3,27.0,85.5,26.3,
1990-01-01,73.9,13.0,147.4,24.04731182795699,21.5,26.5,83.8,26.2,
1990-02-01,6.6,8.0,24.1,24.96175595238095,22.4,27.0,80.9,27.6,
1990-03-01,48.6,4.0,94.2,25.07956989247312,21.4,27.5,77.6,28.2,
1990-04-01,12.0,10.0,52.4,25.885972222222225,23.0,27.9,81.2,28.5,
1990-05-01,153.7,11.0,180.1,25.933064516129033,23.5,28.5,81.1,28.6,
1990-06-01,76.1,9.0,112.6,25.693888888888885,21.6,28.0,80.7,28.3,
1990-07-01,44.5,12.0,124.0,25.131048387096776,22.4,27.4,82.7,27.5,
1990-08-01,38.3,13.0,146.6,25.5747311827957,21.1,27.6,82.3,28.0,
1990-09-01,44.5,17.0,204.5,24.9775,21.3,27.1,83.2,27.2,
1990-10-01,20.2,12.0,56.4,25.24516129032258,22.3,27.3,83.5,27.5,
1990-11-01,46.9,17.0,180.4,24.983611111111113,21.7,27.2,83.5,27.2,
1990-12-01,33.5,16.0,201.1,24.47231182795699,21.8,26.8,86.0,26.3,
1991-01-01,36.2,13.0,123.9,24.58454301075269,21.9,26.4,84.1,26.7,
1991-02-01,17.9,7.0,45.5,24.620386904761908,22.9,26.9,81.6,27.1,
1991-03-01,48.6,10.0,92.4,25.046370967741936,22.3,27.2,79.9,27.8,
1991-04-01,32.2,13.0,134.2,25.61513888888889,23.1,27.7,84.3,27.7,
1991-05-01,44.0,23.0,256.4,25.91021505376344,23.0,28.0,86.6,27.7,
1991-06-01,55.6,9.0,88.7,25.97041666666667,23.0,28.1,81.0,28.6,
1991-07-01,10.7,8.0,37.3,25.533736559139783,22.3,27.5,78.7,28.5,
1991-08-01,129.9,8.0,226.2,25.4,22.5,27.5,79.8,28.2,
1991-09-01,53.6,12.0,123.1,25.269305555555558,23.0,27.2,83.0,27.5,
1991-10-01,20.4,5.0,52.0,24.985483870967744,22.5,27.4,81.4,27.5,
1991-11-01,75.2,19.0,205.0,24.49291666666667,22.1,26.6,86.5,26.3,
1991-12-01,79.4,19.0,492.3,24.43938172043011,22.4,26.7,90.7,25.6,
1992-01-01,56.2,9.0,83.9,24.29274193548387,22.1,26.6,82.4,26.6,
1992-02-01,43.2,4.0,62.4,24.784913793103446,21.7,26.7,80.5,27.5,
1992-03-01,35.1,6.0,67.6,25.50577956989247,23.1,27.6,80.6,28.2,
1992-04-01,94.7,13.0,160.3,25.965,23.0,28.0,82.4,28.4,
1992-05-01,13.7,13.0,63.1,25.8505376344086,23.3,27.9,83.3,28.1,
1992-06-01,38.4,14.0,162.8,25.671666666666663,21.5,28.0,82.7,28.0,
1992-07-01,97.3,19.0,290.8,25.1630376344086,22.2,27.2,83.8,27.3,
1992-08-01,31.0,11.0,76.1,25.18978494623656,22.1,27.2,81.1,27.8,
1992-09-01,17.5,13.0,83.6,25.035694444444445,22.2,27.2,82.9,27.3,
1992-10-01,45.5,20.0,233.2,24.988306451612903,22.2,27.2,82.0,27.4,
1992-11-01,120.6,18.0,474.3,24.479999999999997,22.4,26.8,87.7,26.1,
1992-12-01,105.7,23.0,502.7,24.283467741935485,22.1,26.5,90.3,25.5,
1993-01-01,37.2,11.0,176.4,24.335752688172043,21.7,27.1,85.7,26.2,
1993-02-01,27.0,8.0,69.2,24.083035714285714,22.2,26.2,80.5,26.7,
1993-03-01,56.9,14.0,250.5,24.861021505376343,22.1,27.5,86.3,26.7,
1993-04-01,56.7,20.0,283.9,25.485416666666666,21.5,28.0,84.5,27.6,
1993-05-01,37.2,10.0,129.9,25.850403225806453,22.8,27.8,82.9,28.2,
1993-06-01,29.4,17.0,115.5,25.831666666666667,22.5,28.2,80.9,28.5,
1993-07-01,46.4,15.0,240.0,25.60470430107527,22.7,27.7,83.2,27.9,
1993-08-01,53.5,11.0,106.8,25.729032258064517,21.7,28.0,79.4,28.6,
1993-09-01,42.0,7.0,61.7,25.335,22.1,27.9,81.4,27.9,
1993-10-01,62.7,13.0,175.5,25.36599462365591,22.9,27.5,84.3,27.5,
1993-11-01,61.3,18.0,250.8,25.185555555555553,23.0,27.3,87.4,26.9,
1993-12-01,67.6,19.0,308.5,24.86532258064516,22.7,27.7,87.4,26.5,
1994-01-01,17.5,7.0,56.9,24.526344086021503,22.3,26.7,82.1,26.9,
1994-02-01,26.3,15.0,133.5,24.952976190476193,22.5,27.4,84.5,27.0,
1994-03-01,64.2,19.0,288.2,25.100403225806453,22.8,27.3,87.1,26.8,
1994-04-01,46.3,15.0,154.0,25.803333333333335,23.3,28.3,84.8,27.9,
1994-05-01,45.1,16.0,169.6,26.023655913978494,22.8,28.2,84.8,28.1,
1994-06-01,61.1,14.0,184.7,25.833194444444448,22.2,28.2,83.5,28.1,
1994-07-01,17.0,6.0,53.8,25.547580645161293,20.1,27.4,78.9,28.4,
1994-08-01,15.5,12.0,45.1,25.402419354838713,22.6,27.5,80.0,28.1,
1994-09-01,11.3,6.0,23.7,25.410833333333333,22.7,27.5,78.7,28.3,
1994-10-01,35.4,11.0,84.7,25.294758064516127,22.8,26.9,81.5,27.9,
1994-11-01,178.3,21.0,322.2,25.15263888888889,22.8,27.9,88.4,26.7,
1994-12-01,133.8,18.0,425.4,24.94327956989247,22.5,27.2,85.5,26.9,
1995-01-01,108.3,21.0,349.4,24.95779569892473,21.2,27.0,86.2,26.8,
1995-02-01,159.3,16.0,334.0,24.79925595238095,22.5,26.9,87.5,26.5,
1995-03-01,31.1,10.0,67.7,25.396102150537637,23.5,28.0,83.9,27.6,
1995-04-01,73.6,16.0,242.3,25.946805555555557,23.8,28.1,85.3,27.9,
1995-05-01,32.8,11.0,84.4,26.279301075268815,23.3,28.5,83.7,28.5,
1995-06-01,45.0,12.0,63.7,26.335694444444446,23.0,28.4,81.9,28.9,
1995-07-01,52.3,13.0,173.6,25.65215053763441,22.6,27.7,82.6,28.0,
1995-08-01,37.9,21.0,211.6,25.47271505376344,22.5,27.4,85.6,27.4,
1995-09-01,5.7,7.0,29.5,25.764305555555556,22.4,28.1,81.6,28.3,
1995-10-01,37.1,12.0,101.1,25.463575268817205,22.5,27.8,82.8,27.8,
1995-11-01,198.6,20.0,372.8,25.218611111111112,22.7,27.6,86.8,27.0,
1995-12-01,55.6,20.0,302.5,24.549059139784948,22.4,27.0,86.6,26.3,
1996-01-01,39.0,10.0,173.2,24.08521505376344,20.9,27.0,84.2,26.2,
1996-02-01,53.0,11.0,180.2,24.44942528735632,22.1,26.7,84.6,26.5,
1996-03-01,61.8,8.0,129.7,25.12889784946237,22.1,27.5,81.0,27.8,
1996-04-01,55.7,15.0,178.2,25.83888888888889,23.2,28.4,85.5,27.8,
1996-05-01,18.6,15.0,107.5,26.278494623655916,23.0,28.4,83.7,28.5,
1996-06-01,94.3,15.0,265.8,26.14916666666667,23.0,28.2,84.3,28.3,
1996-07-01,55.3,10.0,162.3,25.853763440860217,22.2,27.9,81.9,28.3,
1996-08-01,64.6,18.0,258.4,25.179032258064517,22.5,27.5,83.4,27.4,
1996-09-01,66.5,18.0,297.0,25.317222222222224,22.1,28.0,82.2,27.7,
1996-10-01,45.8,19.0,300.0,25.179973118279573,22.1,27.2,83.0,27.5,
1996-11-01,60.5,16.0,180.2,25.067777777777778,22.7,27.5,83.5,27.3,
1996-12-01,72.4,15.0,185.5,24.34032258064516,22.0,27.2,82.9,26.6,
1997-01-01,13.9,3.0,15.4,23.996774193548386,22.5,26.4,77.3,27.1,
1997-02-01,35.7,8.0,105.4,24.758482142857144,21.3,26.8,80.8,27.4,
1997-03-01,17.4,10.0,34.3,25.227688172043013,23.1,27.2,79.6,28.1,
1997-04-01,44.6,12.0,118.4,25.68263888888889,22.5,27.9,82.7,28.1,
1997-05-01,35.6,6.0,41.6,26.157526881720432,22.7,28.0,77.7,29.3,
1997-06-01,25.0,12.0,78.9,25.96847222222222,23.3,27.9,76.7,29.3,
1997-07-01,5.4,9.0,18.6,25.524327956989247,22.1,27.4,76.5,28.8,
1997-08-01,61.4,9.0,86.6,25.7252688172043,22.4,27.6,78.2,28.8,
1997-09-01,24.3,3.0,31.1,25.580277777777777,22.7,27.1,77.0,28.8,
1997-10-01,36.5,8.0,78.4,25.561693548387098,22.0,27.4,81.0,28.2,
1997-11-01,53.6,13.0,158.3,25.43972222222222,23.0,27.4,82.8,27.8,
1997-12-01,65.8,23.0,351.9,25.358467741935485,22.8,27.7,85.3,27.3,
1998-01-01,79.7,13.0,268.8,25.736424731182797,23.9,28.0,83.2,28.0,
1998-02-01,11.9,5.0,32.5,25.87827380952381,23.6,28.2,78.3,28.9,
